block_type,word,condition,run,stimFile,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,setup.started,setup.stopped,wait_for_trigger.started,trigger_key.started,wait_for_trigger.stopped,trigger_key.keys,trigger_key.rt,trigger_key.duration,block_start.started,block_instr_text.started,block_start.stopped,block_instr_key.keys,block_instr_key.rt,block_instr_key.duration,trial.started,fixation.started,stim_sound.started,trial_static.started,trial.stopped,resp.keys,participant,run,date,expName,psychopyVersion,frameRate,expStart,
,,,1,,,,,,,,,,,,0.007776399957947433,0.008381799969356507,0.008408299996517599,0.025403199950233102,2.997860400006175,s,2.963172299962025,None,,,,,,,,,,,,,pilot01,1,2026-01-02_13h01.10.849,auditory_semantic_1back_pilot,2023.2.3,60.367736104341,2026-01-02 13h01.19.777421 +0100,
BASE,<BASELINE>,BASE,1,resources/audio/base_run1.wav,0,0,0,0,0,0,0,0,5.9407243999885395,,,,,,,,,,3.03872789995512,3.141560699965339,5.897755899990443,space,2.7526680000009947,None,5.930153900000732,5.9407243999885395,0.0334784000297077,0.0334784000297077,8.94253249996109,None,pilot01,1,2026-01-02_13h01.10.849,auditory_semantic_1back_pilot,2023.2.3,60.367736104341,2026-01-02 13h01.19.777421 +0100,
BASE,<BASELINE>,BASE,1,resources/audio/base_run1.wav,0,0,0,0,0,1,1,1,8.959264599950984,,,,,,,,,,,,,,,,8.943494000006467,8.959264599950984,0.04698919999646023,0.04698919999646023,11.94182309997268,None,pilot01,1,2026-01-02_13h01.10.849,auditory_semantic_1back_pilot,2023.2.3,60.367736104341,2026-01-02 13h01.19.777421 +0100,
BASE,<BASELINE>,BASE,1,resources/audio/base_run1.wav,0,0,0,0,0,2,2,2,11.962386699975468,,,,,,,,,,,,,,,,11.943089000007603,11.962386699975468,0.046846000012010336,0.046846000012010336,14.941712100000586,None,pilot01,1,2026-01-02_13h01.10.849,auditory_semantic_1back_pilot,2023.2.3,60.367736104341,2026-01-02 13h01.19.777421 +0100,
BASE,<BASELINE>,BASE,1,resources/audio/base_run1.wav,0,0,0,0,0,3,3,3,14.961889699974563,,,,,,,,,,,,,,,,14.94291310000699,14.961889699974563,0.04622010001912713,0.04622010001912713,17.94246089999797,None,pilot01,1,2026-01-02_13h01.10.849,auditory_semantic_1back_pilot,2023.2.3,60.367736104341,2026-01-02 13h01.19.777421 +0100,
BASE,<BASELINE>,BASE,1,resources/audio/base_run1.wav,0,0,0,0,0,4,4,4,17.962336500000674,,,,,,,,,,,,,,,,17.94307119998848,17.962336500000674,0.046059600019361824,0.046059600019361824,20.944616299995687,None,pilot01,1,2026-01-02_13h01.10.849,auditory_semantic_1back_pilot,2023.2.3,60.367736104341,2026-01-02 13h01.19.777421 +0100,
BASE,<BASELINE>,BASE,1,resources/audio/base_run1.wav,0,0,0,0,0,5,5,5,21.09444600000279,,,,,,,,,,,,,,,,20.945314099953976,21.09444600000279,0.04850929998792708,0.04850929998792708,23.941630299959797,None,pilot01,1,2026-01-02_13h01.10.849,auditory_semantic_1back_pilot,2023.2.3,60.367736104341,2026-01-02 13h01.19.777421 +0100,
BASE,<BASELINE>,BASE,1,resources/audio/base_run1.wav,0,0,0,0,0,6,6,6,23.960677499999292,,,,,,,,,,,,,,,,23.942653200007044,23.960677499999292,0.04600239999126643,0.04600239999126643,26.942324699950404,None,pilot01,1,2026-01-02_13h01.10.849,auditory_semantic_1back_pilot,2023.2.3,60.367736104341,2026-01-02 13h01.19.777421 +0100,
,,,,,,,,,,,,,26.960709499951918,,,,,,,,,,,,,,,,26.943267199967522,26.960709499951918,0.046508200000971556,0.046508200000971556,,,,,,,,,,
