block_type,word,condition,run,stimFile,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,setup.started,setup.stopped,wait_for_trigger.started,trigger_key.started,wait_for_trigger.stopped,trigger_key.keys,trigger_key.rt,trigger_key.duration,block_start.started,block_instr_text.started,block_start.stopped,block_instr_key.keys,block_instr_key.rt,block_instr_key.duration,trial.started,fixation.started,stim_sound.started,trial_static.started,trial.stopped,resp.keys,participant,run,date,expName,psychopyVersion,frameRate,expStart,
,,,1,,,,,,,,,,,,0.021512799999982235,0.022399700000278244,0.02242149999983667,0.03997849999996106,1.0417359000002762,s,0.9982257000001482,None,,,,,,,,,,,,,pilot01,1,2026-01-02_15h39.12.771,auditory_semantic_1back_pilot,2023.2.3,59.61877371329455,2026-01-02 15h39.20.185031 +0100,
BASE,<BASELINE>,BASE,1,resources/audio/base_run1.wav,0,0,0,0,0,0,0,0,1.7719852999998693,,,,,,,,,,1.0496638000004168,1.1045462000001862,1.7416178000003129,space,0.6305618999995204,None,1.747559700000238,1.7719852999998693,0.007840000000214786,0.007840000000214786,4.754433099999915,None,pilot01,1,2026-01-02_15h39.12.771,auditory_semantic_1back_pilot,2023.2.3,59.61877371329455,2026-01-02 15h39.20.185031 +0100,
,,,,,,,,,,,,,4.772526800000378,,,,,,,,,,,,,,,,4.755229999999756,4.772526800000378,0.01701749999938329,0.01701749999938329,,,,,,,,,,
