block_type,word,condition,run,stimFile,instr_pages.thisRepN,instr_pages.thisTrialN,instr_pages.thisN,instr_pages.thisIndex,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,setup.started,setup.stopped,instructions.started,instructions_text.started,instructions.stopped,instructions_key.keys,instructions_key.rt,instructions_key.duration,wait_for_trigger.started,trigger_key.started,wait_for_trigger.stopped,trigger_key.keys,trigger_key.rt,trigger_key.duration,dummy_TR.started,dummy_text.started,dummy_text.stopped,dummy_TR.stopped,block_start.started,block_instr_text.started,block_instr_text.stopped,block_start.stopped,block_onset,trial.started,trial_onset,trial_index1,is_first_in_block,stim_file_used,resp_prompt_text,fixation.started,stim_sound.started,fixation.stopped,resp_prompt.started,resp.started,resp_prompt.stopped,resp.stopped,trial.stopped,resp.keys,participant,run,date,expName,psychopyVersion,frameRate,expStart,
,,,1,,0,0,0,0,,,,,,,,,0.9626439999992726,,0.8799275999990641,0.8808393999970576,0.8823402999987593,0.9626439999992726,2.5844954999993206,space,1.612041299998964,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pilot01,1,2026-01-02_20h45.58.358,auditory_semantic_1back_pilot,2023.2.3,59.841467983253025,2026-01-02 20h46.13.370757 +0100,
,,,1,,1,0,1,0,,,,,,,,,2.6466756999980134,,,,2.5857665999974415,2.6466756999980134,3.8007514999990235,space,1.1372532999994291,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pilot01,1,2026-01-02_20h45.58.358,auditory_semantic_1back_pilot,2023.2.3,59.841467983253025,2026-01-02 20h46.13.370757 +0100,
,,,1,,2,0,2,0,,,,,,,,,3.8295204999994894,,,,3.8014711999967403,3.8295204999994894,5.416602399996918,space,1.575822300001164,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pilot01,1,2026-01-02_20h45.58.358,auditory_semantic_1back_pilot,2023.2.3,59.841467983253025,2026-01-02 20h46.13.370757 +0100,
,,,1,,,,,,,,,,,,,,,,,,,,,,,,5.417079299997567,5.431560099998023,10.333558999998786,s,4.884901900000841,None,,,,,,,,,,,,,,,,,,,,,,,,,pilot01,1,2026-01-02_20h45.58.358,auditory_semantic_1back_pilot,2023.2.3,59.841467983253025,2026-01-02 20h46.13.370757 +0100,
CON,rakieta,CON,1,resources/audio/con_run1_001.wav,,,,,0,0,0,0,0,0,0,0,24.396688599998015,,,,,,,,,,,,,,,,10.333617399999639,10.348215699999855,16.463371299996652,16.332312799997453,16.43790479999734,18.348809999999503,24.396688599998015,24.33291339999778,1.0100000508828089e-05,24.342664399999194,7.904761900001176,1,1,resources/audio/con_run1_001.wav,MNIEJSZY  ←        →  WIĘKSZY,24.396688599998015,0.04400779999923543,25.8485363999971,25.8485363999971,25.8485363999971,27.36333359999844,27.36333359999844,27.33288790000006,None,pilot01,1,2026-01-02_20h45.58.358,auditory_semantic_1back_pilot,2023.2.3,59.841467983253025,2026-01-02 20h46.13.370757 +0100,
CON,prysznic,CON,1,resources/audio/con_run1_002.wav,,,,,0,0,0,0,0,1,1,1,27.36333359999844,,,,,,,,,,,,,,,,,,,,,,,,1.0100000508828089e-05,27.333698999998887,10.895793700001377,2,0,resources/audio/con_run1_002.wav,MNIEJSZY  ←        →  WIĘKSZY,27.36333359999844,0.0184798000009323,28.848825599998236,28.848825599998236,28.848825599998236,30.36360119999881,30.36360119999881,30.332724099996994,None,pilot01,1,2026-01-02_20h45.58.358,auditory_semantic_1back_pilot,2023.2.3,59.841467983253025,2026-01-02 20h46.13.370757 +0100,
CON,owca,CON,1,resources/audio/con_run1_003.wav,,,,,0,0,0,0,0,2,2,2,30.36360119999881,,,,,,,,,,,,,,,,,,,,,,,,1.0100000508828089e-05,30.333327999996982,13.89542309999888,3,0,resources/audio/con_run1_003.wav,MNIEJSZY  ←        →  WIĘKSZY,30.36360119999881,0.022407200001907768,31.848737899999833,31.848737899999833,31.848737899999833,33.34714819999863,33.34714819999863,33.31673319999754,None,pilot01,1,2026-01-02_20h45.58.358,auditory_semantic_1back_pilot,2023.2.3,59.841467983253025,2026-01-02 20h46.13.370757 +0100,
CON,woda,CON,1,resources/audio/con_run1_004.wav,,,,,0,0,0,0,0,3,3,3,33.34714819999863,,,,,,,,,,,,,,,,,,,,,,,,1.0100000508828089e-05,33.317077199997584,16.87916519999999,4,0,resources/audio/con_run1_004.wav,MNIEJSZY  ←        →  WIĘKSZY,33.34714819999863,0.02057069999864325,34.831933999998,34.831933999998,34.831933999998,36.36382959999901,36.36382959999901,36.31665329999669,None,pilot01,1,2026-01-02_20h45.58.358,auditory_semantic_1back_pilot,2023.2.3,59.841467983253025,2026-01-02 20h46.13.370757 +0100,
CON,lustro,CON,1,resources/audio/con_run1_005.wav,,,,,0,0,0,0,0,4,4,4,36.36382959999901,,,,,,,,,,,,,,,,,,,,,,,,1.0100000508828089e-05,36.317003499996645,19.87909159999981,5,0,resources/audio/con_run1_005.wav,MNIEJSZY  ←        →  WIĘKSZY,36.36382959999901,0.028024100000038743,37.81529709999813,37.81529709999813,37.81529709999813,39.36385109999901,39.36385109999901,39.31616099999883,None,pilot01,1,2026-01-02_20h45.58.358,auditory_semantic_1back_pilot,2023.2.3,59.841467983253025,2026-01-02 20h46.13.370757 +0100,
,,,,,,,,,,,,,,,,,39.36385109999901,,,,,,,,,,,,,,,,,,,,,,,,1.0100000508828089e-05,39.31645639999988,22.8785429999989,6,0,resources/audio/con_run1_006.wav,MNIEJSZY  ←        →  WIĘKSZY,39.36385109999901,0.025306100000307197,,,,,,,,,,,,,,,
