block_type,word,condition,run,stimFile,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,setup.started,setup.stopped,wait_for_trigger.started,trigger_key.started,wait_for_trigger.stopped,trigger_key.keys,trigger_key.rt,trigger_key.duration,block_start.started,block_instr_text.started,block_start.stopped,block_instr_key.keys,block_instr_key.rt,block_instr_key.duration,trial.started,fixation.started,stim_sound.started,trial_static.started,trial.stopped,resp.keys,participant,run,date,expName,psychopyVersion,frameRate,expStart,
,,,1,,,,,,,,,,,,0.014969900017604232,0.015758700028527528,0.015779700013808906,0.0331298999954015,1.8363092000363395,s,1.794069399998989,None,,,,,,,,,,,,,pilot01,1,2026-01-02_13h02.14.503,auditory_semantic_1back_pilot,2023.2.3,60.70488080449005,2026-01-02 13h02.22.761174 +0100,
BASE,<BASELINE>,BASE,1,resources/audio/base_run1.wav,0,0,0,0,0,0,0,0,3.3821259000105783,,,,,,,,,,1.8436990000191145,1.9153508000308648,3.3533660999964923,space,1.4234687999705784,None,3.3698670000303537,3.3821259000105783,0.017746099969372153,0.017746099969372153,6.3820603000349365,None,pilot01,1,2026-01-02_13h02.14.503,auditory_semantic_1back_pilot,2023.2.3,60.70488080449005,2026-01-02 13h02.22.761174 +0100,
BASE,<BASELINE>,BASE,1,resources/audio/base_run1.wav,0,0,0,0,0,1,1,1,6.404876700020395,,,,,,,,,,,,,,,,6.383210200001486,6.404876700020395,0.030754400009755045,0.030754400009755045,9.384665600024164,None,pilot01,1,2026-01-02_13h02.14.503,auditory_semantic_1back_pilot,2023.2.3,60.70488080449005,2026-01-02 13h02.22.761174 +0100,
BASE,<BASELINE>,BASE,1,resources/audio/base_run1.wav,0,0,0,0,0,2,2,2,9.405512500030454,,,,,,,,,,,,,,,,9.385954700002912,9.405512500030454,0.03338380000786856,0.03338380000786856,12.38353030005237,None,pilot01,1,2026-01-02_13h02.14.503,auditory_semantic_1back_pilot,2023.2.3,60.70488080449005,2026-01-02 13h02.22.761174 +0100,
BASE,<BASELINE>,BASE,1,resources/audio/base_run1.wav,0,0,0,0,0,3,3,3,12.4028255000012,,,,,,,,,,,,,,,,12.384082700009458,12.4028255000012,0.031304300006013364,0.031304300006013364,15.383858300046995,None,pilot01,1,2026-01-02_13h02.14.503,auditory_semantic_1back_pilot,2023.2.3,60.70488080449005,2026-01-02 13h02.22.761174 +0100,
BASE,<BASELINE>,BASE,1,resources/audio/base_run1.wav,0,0,0,0,0,4,4,4,15.404980100051034,,,,,,,,,,,,,,,,15.384803500026464,15.404980100051034,0.032138200011104345,0.032138200011104345,18.383960200008005,None,pilot01,1,2026-01-02_13h02.14.503,auditory_semantic_1back_pilot,2023.2.3,60.70488080449005,2026-01-02 13h02.22.761174 +0100,
BASE,<BASELINE>,BASE,1,resources/audio/base_run1.wav,0,0,0,0,0,5,5,5,18.40185860003112,,,,,,,,,,,,,,,,18.384493899997324,18.40185860003112,0.03130759997293353,0.03130759997293353,21.382681300048716,None,pilot01,1,2026-01-02_13h02.14.503,auditory_semantic_1back_pilot,2023.2.3,60.70488080449005,2026-01-02 13h02.22.761174 +0100,
BASE,<BASELINE>,BASE,1,resources/audio/base_run1.wav,0,0,0,0,0,6,6,6,21.40089640003862,,,,,,,,,,,,,,,,21.383439199998975,21.40089640003862,0.029920500004664063,0.029920500004664063,24.384362200042233,None,pilot01,1,2026-01-02_13h02.14.503,auditory_semantic_1back_pilot,2023.2.3,60.70488080449005,2026-01-02 13h02.22.761174 +0100,
,,,,,,,,,,,,,24.40774070000043,,,,,,,,,,,,,,,,24.38517350004986,24.40774070000043,0.03272749995812774,0.03272749995812774,,,,,,,,,,
