block_type,word,condition,run,stimFile,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,setup.started,setup.stopped,wait_for_trigger.started,trigger_key.started,wait_for_trigger.stopped,trigger_key.keys,trigger_key.rt,trigger_key.duration,block_start.started,block_instr_text.started,block_start.stopped,block_instr_key.keys,block_instr_key.rt,block_instr_key.duration,trial.started,fixation.started,stim_sound.started,trial_static.started,trial.stopped,resp.keys,participant,run,date,expName,psychopyVersion,frameRate,expStart,
,,,1,,,,,,,,,,,,0.017353199998979107,0.01860339999984717,0.018643499999598134,0.03699810000034631,4.7389978999999585,s,4.687468899999658,None,,,,,,,,,,,,,pilot01,1,2026-01-02_16h02.58.075,auditory_semantic_1back_pilot,2023.2.3,59.90014645561347,2026-01-02 16h03.06.137551 +0100,
BASE,<BASELINE>,BASE,1,resources/audio/base_run1.wav,0,0,0,0,0,0,0,0,5.667021199998999,,,,,,,,,,4.747815299999274,4.81634479999957,5.638111099999151,space,0.8063151999995171,None,5.647255800000494,5.667021199998999,0.011871200000314275,0.011871200000314275,8.65037250000023,None,pilot01,1,2026-01-02_16h02.58.075,auditory_semantic_1back_pilot,2023.2.3,59.90014645561347,2026-01-02 16h03.06.137551 +0100,
,,,,,,,,,,,,,8.66939640000055,,,,,,,,,,,,,,,,8.652297399999952,8.66939640000055,0.016195500000321772,0.016195500000321772,,,,,,,,,,
