block_type,word,condition,run,stimFile,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,setup.started,setup.stopped,wait_for_trigger.started,trigger_key.started,wait_for_trigger.stopped,trigger_key.keys,trigger_key.rt,trigger_key.duration,block_start.started,block_instr_text.started,block_start.stopped,block_instr_key.keys,block_instr_key.rt,block_instr_key.duration,trial.started,fixation.started,stim_sound.started,fixation.stopped,resp_prompt.started,resp.started,resp_prompt.stopped,resp.stopped,trial.stopped,resp.keys,participant,run,date,expName,psychopyVersion,frameRate,expStart,
,,,1,,,,,,,,,,,,0.008266200000434765,0.009263100000680424,0.009313700000348035,0.028123400001277332,1.8464890000013838,s,1.8069605000000593,None,,,,,,,,,,,,,,,,,pilot01,1,2026-01-02_16h17.07.911,auditory_semantic_1back_pilot,2023.2.3,60.19831733671372,2026-01-02 16h17.15.672879 +0100,
BASE,<BASELINE>,BASE,1,resources/audio/base_run1.wav,0,0,0,0,0,0,0,0,2.741892400001234,,,,,,,,,,1.8543744000016886,1.941117000000304,2.7131618000003073,space,0.7640463000007003,None,2.7228244000016275,2.741892400001234,0.018418199999359786,4.227017200000773,4.227017200000773,4.227017200000773,5.742146200000207,5.742146200000207,5.713255400001799,None,pilot01,1,2026-01-02_16h17.07.911,auditory_semantic_1back_pilot,2023.2.3,60.19831733671372,2026-01-02 16h17.15.672879 +0100,
BASE,<BASELINE>,BASE,1,resources/audio/base_run1.wav,0,0,0,0,0,1,1,1,5.742146200000207,,,,,,,,,,,,,,,,5.714389900000242,5.742146200000207,0.0037931000006210525,7.228062600001067,7.228062600001067,7.228062600001067,8.726689700000861,8.726689700000861,8.712936900001296,None,pilot01,1,2026-01-02_16h17.07.911,auditory_semantic_1back_pilot,2023.2.3,60.19831733671372,2026-01-02 16h17.15.672879 +0100,
,,,,,,,,,,,,,8.726689700000861,,,,,,,,,,,,,,,,8.713875800000096,8.726689700000861,0.0039496000008512056,10.210034600000654,10.210034600000654,10.210034600000654,,,,,,,,,,,,
