block_type,word,condition,run,stimFile,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,setup.started,setup.stopped,wait_for_trigger.started,trigger_key.started,wait_for_trigger.stopped,trigger_key.keys,trigger_key.rt,trigger_key.duration,block_start.started,block_instr_text.started,block_start.stopped,block_instr_key.keys,block_instr_key.rt,block_instr_key.duration,trial.started,fixation.started,stim_sound.started,trial_static.started,trial.stopped,resp.keys,participant,run,date,expName,psychopyVersion,frameRate,expStart,
,,,1,,,,,,,,,,,,0.011225199999898905,0.012268099999346305,0.012303099999371625,0.03071419999923819,2.3011836999994557,s,2.260222299999441,None,,,,,,,,,,,,,pilot01,1,2026-01-02_15h50.58.614,auditory_semantic_1back_pilot,2023.2.3,60.2602398720367,2026-01-02 15h51.12.886060 +0100,
BASE,<BASELINE>,BASE,1,resources/audio/base_run1.wav,0,0,0,0,0,0,0,0,3.2286450999999943,,,,,,,,,,2.3106244999999035,2.3780188999999154,3.199916999999914,space,0.8144330000004629,None,3.2097453999995196,3.2286450999999943,0.012464800000088871,0.012464800000088871,6.2110899999997855,None,pilot01,1,2026-01-02_15h50.58.614,auditory_semantic_1back_pilot,2023.2.3,60.2602398720367,2026-01-02 15h51.12.886060 +0100,
BASE,<BASELINE>,BASE,1,resources/audio/base_run1.wav,0,0,0,0,0,1,1,1,6.232062199999746,,,,,,,,,,,,,,,,6.211968499999784,6.232062199999746,0.014136199999484234,0.014136199999484234,9.210273799999413,None,pilot01,1,2026-01-02_15h50.58.614,auditory_semantic_1back_pilot,2023.2.3,60.2602398720367,2026-01-02 15h51.12.886060 +0100,
BASE,<BASELINE>,BASE,1,resources/audio/base_run1.wav,0,0,0,0,0,2,2,2,9.231624199999715,,,,,,,,,,,,,,,,9.21103629999925,9.231624199999715,0.013268699999571254,0.013268699999571254,12.210521699999845,None,pilot01,1,2026-01-02_15h50.58.614,auditory_semantic_1back_pilot,2023.2.3,60.2602398720367,2026-01-02 15h51.12.886060 +0100,
,,,,,,,,,,,,,12.228974099999505,,,,,,,,,,,,,,,,12.211109599999872,12.228974099999505,0.012437100000170176,0.012437100000170176,,,,,,,,,,
