block_type,word,condition,run,stimFile,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,setup.started,setup.stopped,wait_for_trigger.started,trigger_key.started,wait_for_trigger.stopped,trigger_key.keys,trigger_key.rt,trigger_key.duration,block_start.started,block_instr_text.started,block_start.stopped,block_instr_key.keys,block_instr_key.rt,block_instr_key.duration,trial.started,fixation.started,stim_sound.started,trial_static.started,trial.stopped,resp.keys,participant,run,date,expName,psychopyVersion,frameRate,expStart,
,,,1,,,,,,,,,,,,0.02202650000072026,0.02338439999948605,0.023426899999321904,0.04128409999975702,1.928830900000321,s,1.8768359999994573,None,,,,,,,,,,,,,pilot01,1,2026-01-02_16h02.14.617,auditory_semantic_1back_pilot,2023.2.3,60.08932879608706,2026-01-02 16h02.22.468848 +0100,
BASE,<BASELINE>,BASE,1,resources/audio/base_run1.wav,0,0,0,0,0,0,0,0,3.071393700000044,,,,,,,,,,1.9387067999996361,2.021279599999616,3.0426410000000033,space,1.0160747000008996,None,3.0539441000000807,3.071393700000044,0.013829900000928319,0.013829900000928319,6.054198399999223,None,pilot01,1,2026-01-02_16h02.14.617,auditory_semantic_1back_pilot,2023.2.3,60.08932879608706,2026-01-02 16h02.22.468848 +0100,
BASE,<BASELINE>,BASE,1,resources/audio/base_run1.wav,0,0,0,0,0,1,1,1,6.072372099999484,,,,,,,,,,,,,,,,6.0548787000007,6.072372099999484,0.014334699999380973,0.014334699999380973,9.055994599999394,None,pilot01,1,2026-01-02_16h02.14.617,auditory_semantic_1back_pilot,2023.2.3,60.08932879608706,2026-01-02 16h02.22.468848 +0100,
,,,,,,,,,,,,,9.073485900000378,,,,,,,,,,,,,,,,9.057821700000204,9.073485900000378,0.018098800001098425,0.018098800001098425,,,,,,,,,,
