block_type,word,condition,run,stimFile,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,setup.started,setup.stopped,wait_for_trigger.started,trigger_key.started,wait_for_trigger.stopped,trigger_key.keys,trigger_key.rt,trigger_key.duration,block_start.started,block_instr_text.started,block_start.stopped,block_instr_key.keys,block_instr_key.rt,block_instr_key.duration,trial.started,fixation.started,stim_sound.started,trial_static.started,trial.stopped,resp.keys,participant,run,date,expName,psychopyVersion,frameRate,expStart,
,,,1,,,,,,,,,,,,0.007712299999184324,0.008585099998526857,0.008611999999629916,0.02829629999905592,2.513660399999935,s,2.471736699999383,None,,,,,,,,,,,,,pilot01,1,2026-01-02_16h12.21.511,auditory_semantic_1back_pilot,2023.2.3,60.14422585341013,2026-01-02 16h12.29.632082 +0100,
BASE,<BASELINE>,BASE,1,resources/audio/base_run1.wav,0,0,0,0,0,0,0,0,3.408008599999448,,,,,,,,,,2.5230944999984786,2.5913369999998395,3.379474699999264,space,0.7719736999988527,None,3.389000399998622,3.408008599999448,0.018123100000593695,0.018123100000593695,6.391709099998479,None,pilot01,1,2026-01-02_16h12.21.511,auditory_semantic_1back_pilot,2023.2.3,60.14422585341013,2026-01-02 16h12.29.632082 +0100,
,,,,,,,,,,,,,6.410916399998314,,,,,,,,,,,,,,,,6.392958599999474,6.410916399998314,0.01576500000010128,0.01576500000010128,,,,,,,,,,
