block_type,word,condition,run,stimFile,instr_pages.thisRepN,instr_pages.thisTrialN,instr_pages.thisN,instr_pages.thisIndex,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,setup.started,setup.stopped,instructions.started,instructions_text.started,instructions.stopped,instructions_key.keys,instructions_key.rt,instructions_key.duration,wait_for_trigger.started,trigger_key.started,wait_for_trigger.stopped,trigger_key.keys,trigger_key.rt,trigger_key.duration,dummy_TR.started,dummy_text.started,dummy_text.stopped,dummy_TR.stopped,block_start.started,block_instr_text.started,block_instr_text.stopped,block_start.stopped,block_onset,trial.started,trial_onset,trial_index1,is_first_in_block,stim_file_used,resp_prompt_text,fixation.started,stim_sound.started,fixation.stopped,resp_prompt.started,resp.started,resp_prompt.stopped,resp.stopped,trial.stopped,resp.keys,participant,run,date,expName,psychopyVersion,frameRate,expStart,
,,,1,,0,0,0,0,,,,,,,,,0.647781900002883,,0.5641313000014634,0.5653783000016119,0.5667358999999124,0.647781900002883,1.651357700000517,space,0.9917912000018987,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pilot01,1,2026-01-02_18h27.55.731,auditory_semantic_1back_pilot,2023.2.3,59.98843422998059,2026-01-02 18h28.02.030113 +0100,
,,,1,,1,0,1,0,,,,,,,,,1.7135195000009844,,,,1.6526140000023588,1.7135195000009844,10.902429500001745,space,9.17390780000278,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pilot01,1,2026-01-02_18h27.55.731,auditory_semantic_1back_pilot,2023.2.3,59.98843422998059,2026-01-02 18h28.02.030113 +0100,
,,,1,,2,0,2,0,,,,,,,,,10.947166699999798,,,,10.903956400001334,10.947166699999798,12.452002500001981,space,1.5018463999986125,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pilot01,1,2026-01-02_18h27.55.731,auditory_semantic_1back_pilot,2023.2.3,59.98843422998059,2026-01-02 18h28.02.030113 +0100,
,,,1,,,,,,,,,,,,,,,,,,,,,,,,12.452620100000786,12.466076600001543,14.16737490000014,s,1.6890125999998418,None,,,,,,,,,,,,,,,,,,,,,,,,,pilot01,1,2026-01-02_18h27.55.731,auditory_semantic_1back_pilot,2023.2.3,59.98843422998059,2026-01-02 18h28.02.030113 +0100,
BASE,<BASELINE>,BASE,1,resources/audio/base_run1.wav,,,,,0,0,0,0,0,0,0,0,28.19682880000255,,,,,,,,,,,,,,,,14.167431900001247,14.182836900003167,20.265493800001423,20.151166000003286,20.15791470000113,22.16595470000175,28.19682880000255,28.151167400003033,8.600000001024455e-06,28.159953200000018,8.002044400000159,1,1,resources/audio/base_run1.wav,DOWOLNY PRZYCISK,28.19682880000255,0.022853700000268873,29.666957900000853,29.666957900000853,29.666957900000853,31.182571400000597,31.182571400000597,31.168063500001153,None,pilot01,1,2026-01-02_18h27.55.731,auditory_semantic_1back_pilot,2023.2.3,59.98843422998059,2026-01-02 18h28.02.030113 +0100,
BASE,<BASELINE>,BASE,1,resources/audio/base_run1.wav,,,,,0,0,0,0,0,1,1,1,31.182571400000597,,,,,,,,,,,,,,,,,,,,,,,,8.600000001024455e-06,31.16895800000202,11.011047599997255,2,0,resources/audio/base_run1.wav,DOWOLNY PRZYCISK,31.182571400000597,0.003147399998852052,32.66997950000223,32.66997950000223,32.66997950000223,34.166395600001124,34.166395600001124,34.15329910000219,None,pilot01,1,2026-01-02_18h27.55.731,auditory_semantic_1back_pilot,2023.2.3,59.98843422998059,2026-01-02 18h28.02.030113 +0100,
,,,,,,,,,,,,,,,,,34.166395600001124,,,,,,,,,,,,,,,,,,,,,,,,8.600000001024455e-06,34.15398300000015,13.996073199999955,3,0,resources/audio/base_run1.wav,DOWOLNY PRZYCISK,34.166395600001124,0.0031048999990161974,35.66791710000325,35.66791710000325,35.66791710000325,,,,,,,,,,,,
