block_type,word,condition,run,stimFile,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,setup.started,setup.stopped,wait_for_trigger.started,trigger_key.started,wait_for_trigger.stopped,trigger_key.keys,trigger_key.rt,trigger_key.duration,block_start.started,block_instr_text.started,block_start.stopped,block_instr_key.keys,block_instr_key.rt,block_instr_key.duration,trial.started,fixation.started,stim_sound.started,trial_static.started,trial.stopped,resp.keys,participant,run,date,expName,psychopyVersion,frameRate,expStart,
,,,1,,,,,,,,,,,,0.01667980000092939,0.018118199999662465,0.018157700000301702,0.03550419999919541,3.137643300000491,s,3.098112099998616,None,,,,,,,,,,,,,pilot01,1,2026-01-02_16h07.36.098,auditory_semantic_1back_pilot,2023.2.3,59.89024513682012,2026-01-02 16h07.44.776711 +0100,
BASE,<BASELINE>,BASE,1,resources/audio/base_run1.wav,0,0,0,0,0,0,0,0,4.666433500000494,,,,,,,,,,3.1449721999997564,3.2153627000006963,4.638214599999628,space,1.4176250000000437,None,4.648202599999422,4.666433500000494,0.012671599999521277,0.012671599999521277,7.649080799999865,None,pilot01,1,2026-01-02_16h07.36.098,auditory_semantic_1back_pilot,2023.2.3,59.89024513682012,2026-01-02 16h07.44.776711 +0100,
BASE,<BASELINE>,BASE,1,resources/audio/base_run1.wav,0,0,0,0,0,1,1,1,7.6676459000009345,,,,,,,,,,,,,,,,7.649901200000386,7.6676459000009345,0.013080400000035297,0.013080400000035297,10.649577500000305,None,pilot01,1,2026-01-02_16h07.36.098,auditory_semantic_1back_pilot,2023.2.3,59.89024513682012,2026-01-02 16h07.44.776711 +0100,
,,,,,,,,,,,,,10.668152100000952,,,,,,,,,,,,,,,,10.650824500000454,10.668152100000952,0.014897999999448075,0.014897999999448075,,,,,,,,,,
