block_type,word,condition,run,stimFile,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,setup.started,setup.stopped,wait_for_trigger.started,trigger_key.started,wait_for_trigger.stopped,trigger_key.keys,trigger_key.rt,trigger_key.duration,block_start.started,block_instr_text.started,block_start.stopped,block_instr_key.keys,block_instr_key.rt,block_instr_key.duration,trial.started,fixation.started,stim_sound.started,trial_static.started,trial.stopped,resp.keys,participant,run,date,expName,psychopyVersion,frameRate,expStart,
,,,1,,,,,,,,,,,,0.013458099972922355,0.014605099975597113,0.014647500007413328,0.0326342000043951,3.437220099964179,s,3.3972044000402093,None,,,,,,,,,,,,,pilot01,1,2026-01-02_13h19.21.289,auditory_semantic_1back_pilot,2023.2.3,59.68250103822027,2026-01-02 13h19.31.644235 +0100,
BASE,<BASELINE>,BASE,1,resources/audio/base_run1.wav,0,0,0,0,0,0,0,0,4.747387500014156,,,,,,,,,,3.4469075999804772,3.513458499975968,4.718414600007236,space,1.1907595999655314,None,4.727919299970381,4.747387500014156,0.010614299972075969,0.010614299972075969,7.731197499961127,None,pilot01,1,2026-01-02_13h19.21.289,auditory_semantic_1back_pilot,2023.2.3,59.68250103822027,2026-01-02 13h19.31.644235 +0100,
BASE,<BASELINE>,BASE,1,resources/audio/base_run1.wav,0,0,0,0,0,1,1,1,7.752269599994179,,,,,,,,,,,,,,,,7.732167300011497,7.752269599994179,0.014524300000630319,0.014524300000630319,10.729753399966285,None,pilot01,1,2026-01-02_13h19.21.289,auditory_semantic_1back_pilot,2023.2.3,59.68250103822027,2026-01-02 13h19.31.644235 +0100,
,,,,,,,,,,,,,10.748544699978083,,,,,,,,,,,,,,,,10.73071470001014,10.748544699978083,0.013857099984306842,0.013857099984306842,,,,,,,,,,
