block_type,word,condition,run,stimFile,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,setup.started,setup.stopped,wait_for_trigger.started,trigger_key.started,wait_for_trigger.stopped,trigger_key.keys,trigger_key.rt,trigger_key.duration,block_start.started,block_instr_text.started,block_start.stopped,block_instr_key.keys,block_instr_key.rt,block_instr_key.duration,trial.started,fixation.started,stim_sound.started,trial_static.started,trial.stopped,resp.keys,participant,run,date,expName,psychopyVersion,frameRate,expStart,
,,,1,,,,,,,,,,,,0.018060900000818947,0.019450400000096124,0.019496500000059314,0.035259100000075705,1.7550350999999864,s,1.7070084000006318,None,,,,,,,,,,,,,pilot01,1,2026-01-02_15h28.18.958,auditory_semantic_1back_pilot,2023.2.3,60.26151085239108,2026-01-02 15h28.33.438176 +0100,
BASE,<BASELINE>,BASE,1,resources/audio/base_run1.wav,0,0,0,0,0,0,0,0,2.8004633000000467,,,,,,,,,,1.763368700000683,1.8344317000000956,2.7728579000004174,space,0.9311763999994582,None,2.7838626000002478,2.8004633000000467,0.012980200000129116,0.012980200000129116,5.783821300000454,None,pilot01,1,2026-01-02_15h28.18.958,auditory_semantic_1back_pilot,2023.2.3,60.26151085239108,2026-01-02 15h28.33.438176 +0100,
BASE,<BASELINE>,BASE,1,resources/audio/base_run1.wav,0,0,0,0,0,1,1,1,5.802355400000124,,,,,,,,,,,,,,,,5.785726000000068,5.802355400000124,0.015349600000263308,0.015349600000263308,8.78423280000061,None,pilot01,1,2026-01-02_15h28.18.958,auditory_semantic_1back_pilot,2023.2.3,60.26151085239108,2026-01-02 15h28.33.438176 +0100,
,,,,,,,,,,,,,8.802605000000767,,,,,,,,,,,,,,,,8.78552320000017,8.802605000000767,0.014990100000431994,0.014990100000431994,,,,,,,,,,
