scope,var,n_CON,n_ABS,mean_CON,mean_ABS,sd_CON,sd_ABS,ks_stat,ks_p,levene_stat,levene_p,t_stat_welch,t_p_welch,mw_u,mw_p,cohen_d_CON_minus_ABS,d_ci95_low,d_ci95_high
run1,nchar,24,24,6.75,6.833333333333333,1.8708286933869707,2.0144406207413397,0.041666666666666664,0.9999999999999998,0.22660098522167443,0.6363088422230929,-0.14849839638738838,0.8826020567551335,279.5,0.8664354828937723,-0.042867794564243215,-0.6480836712787927,0.5278900105243837
run1,syllables,24,24,2.5,2.5,0.7223151185146152,0.7223151185146152,0.0,1.0,0.0,1.0,0.0,1.0,288.0,1.0,0.0,-0.5987063161203419,0.5821746033195587
run1,zipf,24,24,3.886940167069492,3.9094260301069386,0.5083490046840271,0.5446561570761974,0.08333333333333333,0.9999994797375902,0.03643399115870891,0.8494620041391319,-0.14785692833260994,0.8831049531506081,286.0,0.9753257805563759,-0.042682618687191774,-0.6049260217697946,0.5454872482565858
run1,Valence_M,24,24,5.582083333333333,5.4115476190416665,0.6379312976956925,1.6330029016398162,0.2916666666666667,0.26283384201555077,14.446371632180929,0.0004223575367613475,0.47653348052765515,0.6371631167174432,287.0,0.9917720847328552,0.1375633666302555,-0.49425795178313114,0.6795032599006605
run1,arousal_M,24,24,3.4575,4.499583333333334,0.6752600143326435,0.915596641619511,0.625,0.00010401434205661125,1.8365070160106702,0.181978544486442,-4.487368343465575,5.4540042570104244e-05,85.0,2.9514492922602277e-05,-1.2953916605264275,-2.0510072480465436,-0.7380927558643091
run1,ageOfAquisition_M,24,24,7.008333333333334,8.803333333333333,0.8438816456613203,1.419634572289848,0.6666666666666666,2.340322696273753e-05,3.436545863759367,0.07018779093593457,-5.324610074296165,4.989189786609957e-06,67.5,5.704323813785153e-06,-1.5370825298623416,-2.347916044954452,-1.0254620432814536
run1,concretness_M,24,24,1.8025000000000002,5.69875,0.12938819245907288,0.904781080896272,1.0,6.202011224319715e-14,36.38304951342872,2.594382286561142e-07,-20.883965665041945,7.118504736004869e-17,0.0,3.015983960459351e-09,-6.028681599229434,-7.699449607052934,-5.196628221467041
