word,condition,run,stimFile
ambicja,ABS,2,resources/audio/abs_run2_001.wav
oszustwo,ABS,2,resources/audio/abs_run2_002.wav
talent,ABS,2,resources/audio/abs_run2_003.wav
randka,ABS,2,resources/audio/abs_run2_004.wav
dowcip,ABS,2,resources/audio/abs_run2_005.wav
wskazówka,ABS,2,resources/audio/abs_run2_006.wav
bunt,ABS,2,resources/audio/abs_run2_007.wav
poezja,ABS,2,resources/audio/abs_run2_008.wav
wynajem,ABS,2,resources/audio/abs_run2_009.wav
dusza,ABS,2,resources/audio/abs_run2_010.wav
początek,ABS,2,resources/audio/abs_run2_011.wav
głód,ABS,2,resources/audio/abs_run2_012.wav
wątpliwość,ABS,2,resources/audio/abs_run2_013.wav
motyw,ABS,2,resources/audio/abs_run2_014.wav
wina,ABS,2,resources/audio/abs_run2_015.wav
priorytet,ABS,2,resources/audio/abs_run2_016.wav
miłość,ABS,2,resources/audio/abs_run2_017.wav
strefa,ABS,2,resources/audio/abs_run2_018.wav
piękno,ABS,2,resources/audio/abs_run2_019.wav
idea,ABS,2,resources/audio/abs_run2_020.wav
tytuł,ABS,2,resources/audio/abs_run2_021.wav
trans,ABS,2,resources/audio/abs_run2_022.wav
przyjaźń,ABS,2,resources/audio/abs_run2_023.wav
korzyść,ABS,2,resources/audio/abs_run2_024.wav
