word,condition,run,stimFile
kapusta,CON,2,resources/audio/con_run2_001.wav
sukienka,CON,2,resources/audio/con_run2_002.wav
kamień,CON,2,resources/audio/con_run2_003.wav
ciasto,CON,2,resources/audio/con_run2_004.wav
lustro,CON,2,resources/audio/con_run2_005.wav
rewolwer,CON,2,resources/audio/con_run2_006.wav
krem,CON,2,resources/audio/con_run2_007.wav
kostka,CON,2,resources/audio/con_run2_008.wav
kominek,CON,2,resources/audio/con_run2_009.wav
palec,CON,2,resources/audio/con_run2_010.wav
pistolet,CON,2,resources/audio/con_run2_011.wav
mysz,CON,2,resources/audio/con_run2_012.wav
nadgarstek,CON,2,resources/audio/con_run2_013.wav
rower,CON,2,resources/audio/con_run2_014.wav
oczy,CON,2,resources/audio/con_run2_015.wav
hamburger,CON,2,resources/audio/con_run2_016.wav
pociąg,CON,2,resources/audio/con_run2_017.wav
królik,CON,2,resources/audio/con_run2_018.wav
świnia,CON,2,resources/audio/con_run2_019.wav
róża,CON,2,resources/audio/con_run2_020.wav
mleko,CON,2,resources/audio/con_run2_021.wav
sznur,CON,2,resources/audio/con_run2_022.wav
pierścień,CON,2,resources/audio/con_run2_023.wav
łańcuch,CON,2,resources/audio/con_run2_024.wav
