word,condition,run,stimFile
<BASELINE>,BASE,1,resources/audio/base_run1_001.wav
<BASELINE>,BASE,1,resources/audio/base_run1_002.wav
<BASELINE>,BASE,1,resources/audio/base_run1_003.wav
<BASELINE>,BASE,1,resources/audio/base_run1_004.wav
<BASELINE>,BASE,1,resources/audio/base_run1_005.wav
<BASELINE>,BASE,1,resources/audio/base_run1_006.wav
<BASELINE>,BASE,1,resources/audio/base_run1_007.wav
<BASELINE>,BASE,1,resources/audio/base_run1_008.wav
<BASELINE>,BASE,1,resources/audio/base_run1_009.wav
<BASELINE>,BASE,1,resources/audio/base_run1_010.wav
<BASELINE>,BASE,1,resources/audio/base_run1_011.wav
<BASELINE>,BASE,1,resources/audio/base_run1_012.wav
<BASELINE>,BASE,1,resources/audio/base_run1_013.wav
<BASELINE>,BASE,1,resources/audio/base_run1_014.wav
<BASELINE>,BASE,1,resources/audio/base_run1_015.wav
<BASELINE>,BASE,1,resources/audio/base_run1_016.wav
<BASELINE>,BASE,1,resources/audio/base_run1_017.wav
<BASELINE>,BASE,1,resources/audio/base_run1_018.wav
<BASELINE>,BASE,1,resources/audio/base_run1_019.wav
<BASELINE>,BASE,1,resources/audio/base_run1_020.wav
<BASELINE>,BASE,1,resources/audio/base_run1_021.wav
<BASELINE>,BASE,1,resources/audio/base_run1_022.wav
<BASELINE>,BASE,1,resources/audio/base_run1_023.wav
<BASELINE>,BASE,1,resources/audio/base_run1_024.wav
